State,County,Area (sqmi)
Illinois,Greene County,543.0
Illinois,Grundy County,420.0
Illinois,Hamilton County,435.0
Illinois,Hancock County,795.0
Illinois,Hardin County,178.0
Illinois,Henderson County,379.0
Illinois,Henry County,823.0
Illinois,Iroquois County,1116.0
Illinois,Jackson County,588.0
Illinois,Jasper County,494.0
Illinois,Jefferson County,571.0
Illinois,Jersey County,369.0
Illinois,Jo Daviess County,601.0
Illinois,Johnson County,346.0
Illinois,Kane County,521.0
Illinois,Kankakee County,678.0
Illinois,Kendall County,321.0
Illinois,Knox County,716.0
Illinois,Lake County,448.0
Illinois,LaSalle County,1135.0
Illinois,Lawrence County,372.0
Illinois,Lee County,725.0
Illinois,Livingston County,1044.0
Illinois,Logan County,618.0
Illinois,Macon County,581.0
Illinois,Macoupin County,864.0
Illinois,Madison County,725.0
Illinois,Marion County,572.0
Illinois,Marshall County,386.0
Illinois,Mason County,539.0
Illinois,Massac County,239.0
Illinois,McDonough County,589.0
Illinois,McHenry County,604.0
Illinois,McLean County,1184.0
Illinois,Menard County,314.0
Illinois,Mercer County,561.0
Illinois,Monroe County,388.0
Illinois,Montgomery County,704.0
Illinois,Morgan County,569.0
Illinois,Moultrie County,336.0
Illinois,Ogle County,759.0
Illinois,Peoria County,620.0
Illinois,Perry County,441.0
Illinois,Piatt County,440.0
Illinois,Pike County,830.0
Illinois,Pope County,371.0
Illinois,Pulaski County,201.0
Illinois,Putnam County,160.0
Illinois,Randolph County,578.0
Illinois,Richland County,360.0
Illinois,Rock Island County,427.0
Illinois,Saline County,383.0
Illinois,Sangamon County,868.0
Illinois,Schuyler County,437.0
Illinois,Scott County,251.0
Illinois,Shelby County,759.0
Illinois,St. Clair County,664.0
Illinois,Stark County,288.0
Illinois,Stephenson County,564.0
Illinois,Tazewell County,649.0
Illinois,Union County,416.0
Illinois,Vermilion County,899.0
Illinois,Wabash County,224.0
Illinois,Warren County,543.0
Illinois,Washington County,563.0
Illinois,Wayne County,714.0
Illinois,White County,495.0
Illinois,Whiteside County,685.0
Illinois,Will County,837.0
Illinois,Williamson County,424.0
Illinois,Winnebago County,514.0
Illinois,Woodford County,528.0
Indiana,Adams County,339.0
Indiana,Allen County,657.0
Indiana,Bartholomew County,407.0
Indiana,Benton County,406.0
Indiana,Blackford County,165.0
Indiana,Boone County,423.0
Indiana,Brown County,312.0
Indiana,Carroll County,372.0
Indiana,Cass County,412.0
Indiana,Clark County,373.0
Indiana,Clay County,358.0
Indiana,Clinton County,405.0
Indiana,Crawford County,306.0
Indiana,Daviess County,429.0
Indiana,Dearborn County,305.0
Indiana,Decatur County,373.0
Indiana,DeKalb County,363.0
Indiana,Delaware County,392.0
Indiana,Dubois County,427.0
Indiana,Elkhart County,463.0
Indiana,Fayette County,215.0
Indiana,Floyd County,148.0
Indiana,Fountain County,396.0
Indiana,Franklin County,384.0
Indiana,Fulton County,368.0
Indiana,Gibson County,487.0
Indiana,Grant County,414.0
Indiana,Greene County,543.0
Indiana,Hamilton County,394.0
Indiana,Hancock County,306.0
Indiana,Harrison County,485.0
Indiana,Hendricks County,407.0
Indiana,Henry County,392.0
Indiana,Howard County,293.0
Indiana,Huntington County,383.0
Indiana,Jackson County,509.0
Indiana,Jasper County,560.0
Indiana,Jay County,384.0
Indiana,Jefferson County,361.0
Indiana,Jennings County,377.0
Indiana,Johnson County,320.0
Indiana,Knox County,516.0
Indiana,Kosciusko County,531.0
Indiana,LaGrange County,380.0
Indiana,Lake County,499.0
Indiana,LaPorte County,598.0
Indiana,Lawrence County,449.0
Indiana,Madison County,452.0
Indiana,Marion County,396.0
Indiana,Marshall County,444.0
Indiana,Martin County,336.0
Indiana,Miami County,374.0
Indiana,Monroe County,395.0
Indiana,Montgomery County,505.0
Indiana,Morgan County,404.0
Indiana,Newton County,402.0
Indiana,Noble County,411.0
Indiana,Ohio County,86.0
Indiana,Orange County,398.0
Indiana,Owen County,385.0
Indiana,Parke County,445.0
Indiana,Perry County,382.0
Indiana,Pike County,334.0
Indiana,Porter County,418.0
Indiana,Posey County,410.0
Indiana,Pulaski County,434.0
Indiana,Putnam County,481.0
Indiana,Randolph County,452.0
Indiana,Ripley County,446.0
Indiana,Rush County,408.0
Indiana,St. Joseph County,458.0
Indiana,Scott County,190.0
Indiana,Shelby County,411.0
Indiana,Spencer County,397.0
Indiana,Starke County,309.0
Indiana,Steuben County,309.0
Indiana,Sullivan County,447.0
Indiana,Switzerland County,221.0
Indiana,Tippecanoe County,500.0
Indiana,Tipton County,261.0
Indiana,Union County,161.0
Indiana,Vanderburgh County,233.0
Indiana,Vermillion County,257.0
Indiana,Vigo County,403.0
Indiana,Wabash County,412.0
Indiana,Warren County,365.0
Indiana,Warrick County,385.0
Indiana,Washington County,514.0
Indiana,Wayne County,402.0
Indiana,Wells County,368.0
Indiana,White County,505.0
Indiana,Whitley County,336.0
Iowa,Adair County,569.0
Iowa,Adams County,424.0
Iowa,Allamakee County,640.0
Iowa,Appanoose County,496.0
Iowa,Audubon County,443.0
Iowa,Benton County,716.0
Iowa,Black Hawk County,567.0
Iowa,Boone County,572.0
Iowa,Bremer County,428.0
Iowa,Buchanan County,571.0
Iowa,Buena Vista County,575.0
Iowa,Butler County,580.0
Iowa,Calhoun County,570.0
Iowa,Carroll County,569.0
Iowa,Cass County,564.0
Iowa,Cedar County,580.0
Iowa,Cerro Gordo County,568.0
Iowa,Cherokee County,577.0
Iowa,Chickasaw County,505.0
Iowa,Clarke County,431.0
Iowa,Clay County,569.0
Iowa,Clayton County,779.0
Iowa,Clinton County,695.0
Iowa,Crawford County,714.0
Iowa,Dallas County,586.0
Iowa,Davis County,503.0
Iowa,Decatur County,532.0
Iowa,Delaware County,578.0
Iowa,Des Moines County,416.0
Iowa,Dickinson County,381.0
Iowa,Dubuque County,608.0
Iowa,Emmet County,396.0
Iowa,Fayette County,731.0
Iowa,Floyd County,501.0
Iowa,Franklin County,582.0
Iowa,Fremont County,511.0
Iowa,Greene County,568.0
Iowa,Grundy County,503.0
Iowa,Guthrie County,591.0
Iowa,Hamilton County,577.0
Iowa,Hancock County,571.0
Iowa,Hardin County,569.0
Iowa,Harrison County,697.0
Iowa,Henry County,434.0
Iowa,Howard County,473.0
Iowa,Humboldt County,434.0
Iowa,Ida County,432.0
Iowa,Iowa County,586.0
Iowa,Jackson County,636.0
Iowa,Jasper County,730.0
Iowa,Jefferson County,435.0
Iowa,Johnson County,614.0
Iowa,Jones County,575.0
Iowa,Keokuk County,579.0
Iowa,Kossuth County,973.0
Iowa,Lee County,517.0
Iowa,Linn County,718.0
Iowa,Louisa County,402.0
Iowa,Lucas County,431.0
Iowa,Lyon County,588.0
Iowa,Madison County,561.0
Iowa,Mahaska County,571.0
